id,name,slug,nationality,birth_year,website,instagram,instagram_followers,galleries_exhibited,cv_url
,Eduardo Paolozzi,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Efrain Almeida,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Egan Frantz,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Elana Bowsher,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Eleonora Rinaldi,,,,,,,IRL Gallery NYC,
62,Elham Goodarzi,elham-goodarzi,,,,,,,
,Eli Ping,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
31,Elisa Pritzker,elisa-pritzker,,,,,,,
,Elizabeth Bergeland,,,,,,,IRL Gallery NYC,
,Elizabeth Jaeger,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Ellen Berkenblit,,,,,,,CLEARING-NewYork,
,Ellen Weider,,,,,,,IRL Gallery NYC,
,Elzie Williams III,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
46,Emilie Stark-Menneg,emilie-stark-menneg,,,,,,,
,Emily Janowick,,,,,,,International Waters,
,Emily Kraus,,,,,,,Luhring Augustine,
,Emma Helene Moriconi,,,,,,,CLEARING-NewYork,
44,Emma Stern,emma-stern,,,,,,,
,Emmanuel Louisnord Desir,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Enzo Cucchi,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Erika Verzutti,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Erin Morris,,,,,,,Europa,
,Ernesto Neto,,,,,,,Tanya Bonakdar Gallery,
,Erol Eskici,,,,,,,Sanatorium,
,Estate of Barbara Ess,,,,https://magentaplains.com/artists/estate-of-barbara-ess,https://www.instagram.com/magentaplains,,Magenta Plains,https://magentaplains.com/cv
,Estate of Paul Gardere,,,,https://magentaplains.com/artists/estate-of-paul-gardere,https://www.instagram.com/magentaplains,,Magenta Plains,https://magentaplains.com/cv
,Estate of Paul Gardère,,,,,,,Magenta Plains,
,Esther Kläs,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Esther Ruiz,,,,,,,IRL Gallery NYC,
,Eva LeWitt,,,,,,,Luhring Augustine,
,Eyan Goldman,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Fabrizio Arrieta,,,,,,,56 Henry,
,Farid Rasulov,,,,,,,Sanatorium,
,Felix De Clercq,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Fin Simonetti,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
61,Francisco echo Eraso,francisco-echo-eraso,,,,,,,
,Frank Auerbach,,,,,,,Luhring Augustine,
,Freddy Villalobos,,,,,,,International Waters,
,Gabriel Chaile,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Gabriele Grones,,,,,,,IRL Gallery NYC,
,Gabrielė Adomaitytė,,,,,,,CLEARING-NewYork,
,Gaspard Girard d'Albissin,,,,,,,IRL Gallery NYC,
,George Condo,,,,,,,Luhring Augustine,
,George Gray,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Georgia Gardner Gray,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Germaine Richier,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Ghislaine Leung,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
64,Gigi Gruenburg,gigi-gruenburg,,,,,,,
,Gigi Rose Gray,,,,,,,IRL Gallery NYC,
,Gillian Wearing,,,,,,,Tanya Bonakdar Gallery,
,Gizem Akkoyunoğlu,,,,,,,Sanatorium,
,Glenn Ligon,,,,,,,Luhring Augustine,
37,Go Pushpops,go-pushpops,,,,,,,
,Gregg Moore,,,,,,,56 Henry,
,Gritli Faulhaber,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Guido Casaretto,,,,,,,Sanatorium,
,Gunther Forg,,,,,,,Luhring Augustine,
,Gus Monday,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Gusmão,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Gülşah Mursaloğlu,,,,,,,Sanatorium,
,Günther Förg,,,,,,,Luhring Augustine,
30,Haas Brothers,haas-brothers,,,,,,,
,Hadi Fallahpisheh,,,,,,,CLEARING-NewYork,
57,Haifa Bint-Kadi,haifa-bint-kadi,,,,,,,
,Haim Steinbach,,,,https://www.haimsteinbach.net,,,Tanya Bonakdar Gallery,
,Hannah Levy,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Hannah Starkey,,,,https://www.hannahstarkey.com,,,Tanya Bonakdar Gallery,https://www.hannahstarkey.com/cv
,Harold Ancart,,,,,,,CLEARING-NewYork,
,He Xiangyu,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Heji Shin,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Henri Michaux,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Henry Curchod,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Hings Lim,,,,,,,Island,
,Hugh Hayden,,,,,,,CLEARING-NewYork,
,Huma Bhabha,,,,,,,CLEARING-NewYork,
,Hwi Hahm,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Hông-Ân Truóng,,,,,,,Island,
43,Indira Cesarine,indira-cesarine,,,,,,,
15,Irja Boden,irja-boden,,,,,,,
,Irmak Canevi,,,,,,,Sanatorium,
,Isaac Brest,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Isabelle Cornaro,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,JP Munro,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Jack Pierson,,,,,,,Luhring Augustine,
,Jacob Kassay,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Jaime Welsh,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
55,James Baker,james-baker,,,,,,,
,Jamian Juliano-Villani,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
16,Jamie Martinez,jamie-martinez,,,,,,,
,Janaina Tschäpe,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Jane Dickson,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Jane Swavely,,,,https://www.janeswavely.com,http://instagram.com/janeswave,,Magenta Plains,https://www.janeswavely.com/cv
,Janine Antoni,,,,,,,Luhring Augustine,
,Janine Iversen,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Jasmine Gregory,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Jason Moran,,,,,,,Luhring Augustine,
,Javier Barrios,,,,,,,"CLEARING-LA, CLEARING-NewYork",
21,Jay Milder,jay-milder,,,,,,,
,Jean Nipon,,,,,,,CLEARING-NewYork,
,Jean-François Lauda,,,,,,,CLEARING-NewYork,
,Jean-Marie Appriou,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Jeff Elrod,,,,,,,Luhring Augustine,
,Jeffrey Vallance,,,,,,,Tanya Bonakdar Gallery,
,Jen Deluna,,,,,,,IRL Gallery NYC,
65,Jenna Hamed,jenna-hamed,,,,,,,
,Jennifer Bolande,,,,https://jbolande.com,,,Magenta Plains,https://jbolande.com/cv
,Jeremy Moon,,,,,,,Luhring Augustine,
,Jesse Stecklow,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Jessie Homer French,,,,,,,CLEARING-NewYork,
,Jessy Razafimandimby,,,,,,,CLEARING-NewYork,
,Jibade-Khalil Huffman,,,,https://jibadekhalilhuffman.tumblr.com,,,Magenta Plains,https://jibadekhalilhuffman.tumblr.com/cv
2,Jilaine Jones,jilaine-jones,,,,,,,
,Jo Messer,,,,,,,56 Henry,
,Joan Jonas,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Joanna Piotrowska,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Jon Burgerman,,,,,,,IRL Gallery NYC,
,Jonathan Berger,,,,,,,Luhring Augustine,
,Jonsi,,,,https://jonsi.com,http://instagram.com/iamjonsi,,Tanya Bonakdar Gallery,https://jonsi.com/cv
36,Jordan Piantedosi,jordan-piantedosi,,,,,,,
,Jordan Sears,,,,,,,IRL Gallery NYC,
,Jos De Gruyter & Harald Thys,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Joseph Buckley,,,,,,,Island,
,Josh Smith,,,,,,,Luhring Augustine,
,Josip Novosel,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
18,Jovanni Luna,jovanni-luna,,,,,,,
,João Maria,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Julia Yerger,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Julie Curtiss,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
40,Julie Speidel,julie-speidel,,,,,,,
,Julien Meert,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Julien Monnerie,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Julio Galan,,,,,,,Luhring Augustine,
,Julio Galán,,,,,,,Luhring Augustine,
27,Justin Shoulder,justin-shoulder,,,,,,,
,Justin de Verteuil,,,,,,,CLEARING-NewYork,
,Jónsi,,,,,,,Tanya Bonakdar Gallery,
,Karyn Olivier,,,,https://www.karynolivier.com,https://www.instagram.com/karynolivier,,Tanya Bonakdar Gallery,https://www.karynolivier.com/cv
,Kasper Bosmans,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
60,Katherine Earle,katherine-earle,,,,,,,
,Kayode Ojo,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Ken Lum,,,,https://magentaplains.com/artists/ken-lum,https://www.instagram.com/magentaplains,,Magenta Plains,https://magentaplains.com/cv
,Kenneth Bergfeld,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Kerem Ozan Bayraktar,,,,,,,Sanatorium,
,Kevin Reinhardt,,,,,,,56 Henry,
,Kevin Zabasky,,,,,,,IRL Gallery NYC,
,Kilian Rüthemann,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Kim MacConnel,,,,,,,Luhring Augustine,
,Kimsooja,,,,https://kimsooja.com,,,Tanya Bonakdar Gallery,
,Kinderseele,,,,,,,IRL Gallery NYC,
39,Kip Davis,kip-davis,,,,,,,
,Koenraad Dedobbeleer,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Koichi Sato,,,,,,,56 Henry,
,Kolja Kartner Sainz,,,,,,,IRL Gallery NYC,
,Korakrit Arunanondchai,,,,,,,CLEARING-NewYork,
,Kristian Kragelund,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Kunle Martins,,,,,,,56 Henry,
,Kyle Thurman,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,L Song Wu,,,,,,,IRL Gallery NYC,
,LaKela Brown,,,,,,,56 Henry,
,Lane Walkup,,,,,,,IRL Gallery NYC,
,Larissa Lockshin,,,,,,,Europa,
,Larry Clark,,,,,,,Luhring Augustine,
,Larry Stanton,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Laura Benson,,,,,,,IRL Gallery NYC,
,Laura Garcia-Karras,,,,,,,IRL Gallery NYC,
35,Laura Kimmel,laura-kimmel,,,,,,,
,Laura Langer,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Laura Lima,,,,,,,Tanya Bonakdar Gallery,
,Laure Prouvost,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Lauren Anaïs Hussey,,,,,,,CLEARING-NewYork,
58,Lauren Bradshaw,lauren-bradshaw,,,,,,,
12,Lauren Shapiro,lauren-shapiro,,,,,,,
,Laurie Simmons,,,,,,,56 Henry,
,Laís Amaral,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Leah Ke Yi Zheng,,,,,,,CLEARING-NewYork,
,Leda Catunda,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Lee Friedlander,,,,,,,Luhring Augustine,
23,Lena Marquise,lena-marquise,,,,,,,
,Lili Reynaud-Dewar,,,,,,,CLEARING-NewYork,
33,Lina Puerta,lina-puerta,,,,,,,
,Linda Matalon,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Lisa Oppenheim,,,,https://www.lisaopp.net,,,Tanya Bonakdar Gallery,https://www.lisaopp.net/cv
